original_text,normalized_text
الحقيقة، يا عزيزي، إن الكلام البرّاق لم يكُن لوحده كافي،,الحقيقه، يا عزيزي، ان الكلام البرّاق لم يكُن لوحده كافي،
"محتاجين حاجة أكتر من ""كاريزمتك"" تثبتلنا إن انت فوق البشر!","محتاجين حاجه اكتر من ""كاريزمتك"" تثبتلنا ان انت فوق البشر!"
محتاجين معجزة، miracle.,محتاجين معجزه، .
وهنا، يا عزيزي، بيبدأ الـshow الحقيقي،,وهنا، يا عزيزي، بيبدا ال الحقيقي،
القبول ممكن يخلّيك ممثل، ممتاز، عاش،,القبول ممكن يخلّيك ممثل، ممتاز، عاش،
"إنما ""جونز"" كان بيتحرك بين المدن، وبيعمل مهام كأنه ""سوبرمان""،","انما ""جونز"" كان بيتحرك بين المدن، وبيعمل مهام كانه ""سوبرمان""،"
بيقوم بكل المهمات، من غير تعب،,بيقوم بكل المهمات، من غير تعب،
الراجل، بسم الله، ما شاء الله، محصّن ضد الإرهاق والإنهاك،,الراجل، بسم الله، ما شاء الله، محصّن ضد الارهاق والانهاك،
ولمّا حد بيستغرب صحته دي كلها،,ولمّا حد بيستغرب صحته دي كلها،
يرد عليه بخشوع ويقولّه:,يرد عليه بخشوع ويقولّه:
"""دي طاقة من الروح القُدُس.""","""دي طاقه من الروح القُدُس."""
بس في حقيقة الأمر، الراجل، زي ما ممكن تكون توقعت،,بس في حقيقه الامر، الراجل، زي ما ممكن تكون توقعت،
كان مدمن مخدرات ومنشطات،,كان مدمن مخدرات ومنشطات،
وكل هذه الطاقة والحماس قُرص كيميا!,وكل هذه الطاقه والحماس قُرص كيميا!
في مرة، اتضرب عليه نار، وهو خارج من الكنيسة قُدّام الناس،,في مره، اتضرب عليه نار، وهو خارج من الكنيسه قُدّام الناس،
وبعدين، قال إنه ادّعى إنه شفا نفسه بنفسه، لأن جسمه مقدس،,وبعدين، قال انه ادّعي انه شفا نفسه بنفسه، لان جسمه مقدس،
والناس بالفعل صدّقته، وفضلوا يبصولّه كأنه إله!,والناس بالفعل صدّقته، وفضلوا يبصولّه كانه اله!
بينما في الحقيقة، زي ما انت برضه توقعت،,بينما في الحقيقه، زي ما انت برضه توقعت،
كل دا كان مسرحية هو اللي عاملها.,كل دا كان مسرحيه هو اللي عاملها.
بس، يا عزيزي، أذكى مسرحية من مسرحياته هتكون معجزة الشفاء،,بس، يا عزيزي، اذكي مسرحيه من مسرحياته هتكون معجزه الشفاء،
كان عنده فريق بينفّذ حِيَل عبقرية،,كان عنده فريق بينفّذ حِيَل عبقريه،
زي إنه يجيب ستات عواجيز،,زي انه يجيب ستات عواجيز،
ويدّيهم مهدئات قوية جدًا، من غير ما يعرفوا،,ويدّيهم مهديات قويه جدًا، من غير ما يعرفوا،
ولمّا يُغمى عليهم، يجبّس رجليهم وهُما نايمين،,ولمّا يُغمي عليهم، يجبّس رجليهم وهُما نايمين،
"الست لمّا بتصحى، تلاقي الجبس، فيقولولها: ""انتي وقعتي، ورجليكي اتكسرت!""","الست لمّا بتصحي، تلاقي الجبس، فيقولولها: ""انتي وقعتي، ورجليكي اتكسرت!"""
"يقوم داخل ""جونز"" الكنيسة وسط تهليل وتبجيل من متابعيه،","يقوم داخل ""جونز"" الكنيسه وسط تهليل وتبجيل من متابعيه،"
"يفُك الجبس، ويقوم قايل للست: ""قومي امشي.""","يفُك الجبس، ويقوم قايل للست: ""قومي امشي."""
"طبعًا، الست، بسم الله، ما شاء الله، بتقوم ترقص ""تانجو""!","طبعًا، الست، بسم الله، ما شاء الله، بتقوم ترقص ""تانجو""!"
لأن ما فيهاش حاجة أصلًا.,لان ما فيهاش حاجه اصلًا.
وتعتقد هنا إنها خفّت بمعجزة،,وتعتقد هنا انها خفّت بمعجزه،
"""أنا رجلي اتكسرت أهي، وكنت مجبساها، والراجل دا شفاني!""","""انا رجلي اتكسرت اهي، وكنت مجبساها، والراجل دا شفاني!"""
مع إنها أصلًا كانت سليمة.,مع انها اصلًا كانت سليمه.
"معجزات ""جونز"" كانت ممكن تفضل في حدود المعبد بتاعه،","معجزات ""جونز"" كانت ممكن تفضل في حدود المعبد بتاعه،"
إلا إن نفوذه هيوصل للسما بفضل عشرات السياسيين,الا ان نفوذه هيوصل للسما بفضل عشرات السياسيين
اللي هيكونوا بيخطبوا ودّه، عشان يرضى، يرضى.,اللي هيكونوا بيخطبوا ودّه، عشان يرضي، يرضي.
"""ياه يا (أبو حميد)! يعني شخصيات بذكاء السياسيين","""ياه يا ابو حميد ! يعني شخصيات بذكاء السياسيين"
"وصلوا هُما كمان يكونوا من الأتباع؟!""","وصلوا هُما كمان يكونوا من الاتباع """
والله، يا عزيزي، المصادر ما أكدتش،,والله، يا عزيزي، المصادر ما اكدتش،
"بس الأكيد إن عم ""جونز"" دا سواء بيعمل معجزات،","بس الاكيد ان عم ""جونز"" دا سواء بيعمل معجزات،"
أو معاه فريق بيظبُطله الحركات ويعملّه after effects،,او معاه فريق بيظبُطله الحركات ويعملّه ،
فهو في الأول وفي الآخر، حاطط إيده على كتلة تصويتية ضخمة،,فهو في الاول وفي الاخر، حاطط ايده علي كتله تصويتيه ضخمه،
يعملّهم كدا، ينتخبوا دا،,يعملّهم كدا، ينتخبوا دا،
يعملّهم كدا، ينتخبوا التاني.,يعملّهم كدا، ينتخبوا التاني.
ودي طبعًا بالنسبة للسياسيين معجزة أكبر بكتير من موضوع الجبس!,ودي طبعًا بالنسبه للسياسيين معجزه اكبر بكتير من موضوع الجبس!
عشان نشوف انتخابات سنة 1975,عشان نشوف انتخابات سنه 1975
"""معبد الشعوب"" بيدعم ""جورج موسكوني"" لمنصب العمدة،","""معبد الشعوب"" بيدعم ""جورج موسكوني"" لمنصب العمده،"
"وبالفعل، الراجل بينجح، بركاتك يا عم ""جونز""!","وبالفعل، الراجل بينجح، بركاتك يا عم ""جونز""!"
على الناحية التانية، في المقابل،,علي الناحيه التانيه، في المقابل،
"العمدة بيقوم معيّن ""جيم جونز"" كرئيس لهيئة الإسكان في ""سان فرانسيسكو""،","العمده بيقوم معيّن ""جيم جونز"" كرييس لهييه الاسكان في ""سان فرانسيسكو""،"
الراجل بقى مسئول حكومي رسميًا، وصل لأعلى المستويات.,الراجل بقي مسيول حكومي رسميًا، وصل لاعلي المستويات.
"""جونز""، يا عزيزي، نجح في إنه يكون رجُل براجماتي،","""جونز""، يا عزيزي، نجح في انه يكون رجُل براجماتي،"
يعمل تحالفات مع سياسيين انتهازيين،,يعمل تحالفات مع سياسيين انتهازيين،
ولكن نجاحه الأهم هو إنه يفضل في عيون أتباعه أكبر من مجرد قائد،,ولكن نجاحه الاهم هو انه يفضل في عيون اتباعه اكبر من مجرد قايد،
وإنما مخلّص، savior.,وانما مخلّص، .
ومكانة زي دي، عشان تفضل تستمر،,ومكانه زي دي، عشان تفضل تستمر،
لازم حتى وانت في المصيدة,لازم حتي وانت في المصيده
تخسر أهم حاجة بتميزك، وهي شخصيتك.,تخسر اهم حاجه بتميزك، وهي شخصيتك.
وهنا، يا عزيزي، يخش على المرحلة الجديدة،,وهنا، يا عزيزي، يخش علي المرحله الجديده،
تفكيك شخصيتك القديمة،,تفكيك شخصيتك القديمه،
وبناء شخصية جديدة تابعة للقائد وبس،,وبناء شخصيه جديده تابعه للقايد وبس،
في عملية بيسميها علماء النَفْس...,في عمليه بيسميها علماء النَفْس
عشان نفهم عملية الـIdentity reconstruction بتحصل ازاي،,عشان نفهم عمليه ال بتحصل ازاي،
أو عملية إعادة إعمار الهوية،,او عمليه اعاده اعمار الهويه،
"خلّينا نروح لنموذج عبقري حَطه العالِم ""ستيفن حسن""،","خلّينا نروح لنموذج عبقري حَطه العالِم ""ستيفن حسن""،"
العالِم اللي كان هو نفسه عضو في طائفة Unification Church،,العالِم اللي كان هو نفسه عضو في طايفه ،
وبعد انضمامه ليها بفترة، هرب منها.,وبعد انضمامه ليها بفتره، هرب منها.
"نموذج ""ستيفن حسن"" هو الـBITE Model،","نموذج ""ستيفن حسن"" هو ال ،"
B.I.T.E هو اختصار لـ4 مفاتيح،,. . . هو اختصار ل4 مفاتيح،
"لو ملكتهم، تقدر تسيطر على أي إنسان، وتحوّله إلى عروسة ""ماريونيت""،","لو ملكتهم، تقدر تسيطر علي اي انسان، وتحوّله الي عروسه ""ماريونيت""،"
B لـBehavior، سلوك،,ل ، سلوك،
الـI لـInformation، معلومات،,ال ل ، معلومات،
الـT لـThoughts، أفكار،,ال ل ، افكار،
الـE الـEmotions، العواطف.,ال ال ، العواطف.
السلوك، المعلومات، الأفكار، والعاطفة،,السلوك، المعلومات، الافكار، والعاطفه،
لو تحكّمت في الـ4 دُول، مبروك عليك الإنسان!,لو تحكّمت في ال4 دُول، مبروك عليك الانسان!
"""جونز"" طبّق النموذج دا ببراعة، لمّا سيطر على المعلومات،","""جونز"" طبّق النموذج دا ببراعه، لمّا سيطر علي المعلومات،"
عمل ما يُعرف بالـInformation Control،,عمل ما يُعرف بال ،
صنع واقع بديل لأتباعه،,صنع واقع بديل لاتباعه،
وفي حركة كورية شمالية،,وفي حركه كوريه شماليه،
عزل الشعب عن العالَم الخطير الوحِش اللي برة دا،,عزل الشعب عن العالَم الخطير الوحِش اللي بره دا،
والحقيقة إن العالم كان خطير فعلًا،,والحقيقه ان العالم كان خطير فعلًا،
"ولكن على ""جونز"" نفسه، مش على أتباعه.","ولكن علي ""جونز"" نفسه، مش علي اتباعه."
لأن سنة 1977،,لان سنه 1977،
"""جونز"" بيسمع كلام إن فيه تحقيق قريب هينزل في مجلة ""نيو ويست""،","""جونز"" بيسمع كلام ان فيه تحقيق قريب هينزل في مجله ""نيو ويست""،"
وهذا التحقيق بيكشف عن انتهاكات حصلت جوا المعبد،,وهذا التحقيق بيكشف عن انتهاكات حصلت جوا المعبد،
انتهاكات زي الابتزاز والاستغلال الجنسي للأعضاء،,انتهاكات زي الابتزاز والاستغلال الجنسي للاعضاء،
"فهنا، بيقرر ""جونز"" إنه يهرب بـ1000 من أتباعه","فهنا، بيقرر ""جونز"" انه يهرب ب10 من اتباعه"
قبل ما التحقيق ينتشر.,قبل ما التحقيق ينتشر.
"تسألني: ""ازاي هربوا معاه بهذه السهولة؟","تسالني: ""ازاي هربوا معاه بهذه السهوله؟"
أقولّك، لأن هي دي الـcult،,اقولّك، لان هي دي ال ،
"""جونز"" كان متأكد إن هُما هيروحوا معاه لآخر العالَم، لو طلب منهم،","""جونز"" كان متاكد ان هُما هيروحوا معاه لاخر العالَم، لو طلب منهم،"
ودا لأنه أصلًا كان منقّيهم وهُما على الفرّازة،,ودا لانه اصلًا كان منقّيهم وهُما علي الفرّازه،
دُول الأتباع اللي عدّوا باختبارات كتير مرعبة،,دُول الاتباع اللي عدّوا باختبارات كتير مرعبه،
وأثبتوا مع الوقت ولاءهم.,واثبتوا مع الوقت ولاءهم.
يعني مثلًا، عندك في الستينات، في عز الحرب الباردة،,يعني مثلًا، عندك في الستينات، في عز الحرب البارده،
"""أمريكا"" والسوفييت كانوا بيلعبوا الروليت الروسي مع بعض،","""امريكا"" والسوفييت كانوا بيلعبوا الروليت الروسي مع بعض،"
كانوا حاطين رأس نووية في الساقية،,كانوا حاطين راس نوويه في الساقيه،
بيلعبوا على مين هيضرب بالنووي التاني،,بيلعبوا علي مين هيضرب بالنووي التاني،
العالم، يا عزيزي، زي ما قُلتلك 50 ألف مرة، كان على حافة الفناء.,العالم، يا عزيزي، زي ما قُلتلك 50 الف مره، كان علي حافه الفناء.
"فـ""جيم"" بيقرر إن هو يستغلّ هذه الظروف ويختبر أتباعه،","ف""جيم"" بيقرر ان هو يستغلّ هذه الظروف ويختبر اتباعه،"
عشان وقت الجد لمّا ييجي كمان 12 سنة تقريبًا،,عشان وقت الجد لمّا ييجي كمان 12 سنه تقريبًا،
"يبقى عارف: ""هَختار مين، وهَروح معاه فين.""","يبقي عارف: ""هَختار مين، وهَروح معاه فين."""
"بالتالي، ""جيم"" بيستغل الخوف من السلاح النووي،","بالتالي، ""جيم"" بيستغل الخوف من السلاح النووي،"
وقال لأتباعه إن هُناك قنبلة نووية هتُقَع على الغرب الأوسط الأمريكي،,وقال لاتباعه ان هُناك قنبله نوويه هتُقَع علي الغرب الاوسط الامريكي،
"""أنا جالي رؤيا، أنا شُفت دا، دا هيحصل.","""انا جالي رويا، انا شُفت دا، دا هيحصل."
"احنا لازم نهرب فورًا!""","احنا لازم نهرب فورًا!"""
"وهنا، ""جونز"" خد 140 واحد من أتباعه المخلصين،","وهنا، ""جونز"" خد 140 واحد من اتباعه المخلصين،"
"وحطّهم في عربيات، وسافر بهذه القافلة من ""إنديانا"" إلى ""كاليفورنيا"".","وحطّهم في عربيات، وسافر بهذه القافله من ""انديانا"" الي ""كاليفورنيا""."
طبعًا، الظاهر ليهم إن هُما كانوا بيهربوا من الانفجار النووي اللي هيحصل،,طبعًا، الظاهر ليهم ان هُما كانوا بيهربوا من الانفجار النووي اللي هيحصل،
بس الحقيقة إن النقلة دي كانت اختبار ولاء،,بس الحقيقه ان النقله دي كانت اختبار ولاء،
"""جونز"" كان يفرز الناس، ويعرف مين مصدّق رسالته بجد،","""جونز"" كان يفرز الناس، ويعرف مين مصدّق رسالته بجد،"
"""مين مستعد يرمي حياته ورا ضهره، وييجي معايا.""","""مين مستعد يرمي حياته ورا ضهره، وييجي معايا."""
الطريقة دي هيفضل يختبر بيها الناس كل سنة ورا التانية،,الطريقه دي هيفضل يختبر بيها الناس كل سنه ورا التانيه،
عشان كدا، كان سهل جدًا إن سنة 77، لمّا يقول يا هروب،,عشان كدا، كان سهل جدًا ان سنه 77، لمّا يقول يا هروب،
يلاقي ناس موافقة، وحابة إنها تهرب معاه،,يلاقي ناس موافقه، وحابه انها تهرب معاه،
خصوصًا إنه هيغلّف هروبه الشخصي دا,خصوصًا انه هيغلّف هروبه الشخصي دا
بإنه هيقدّملهم وعد أجمل بكتير,بانه هيقدّملهم وعد اجمل بكتير
من الرؤى السوداوية اللي كان بيقدّمهالهم وقت الاختبارات،,من الروي السوداويه اللي كان بيقدّمهالهم وقت الاختبارات،
"""جيم"" أقنع أتباعه هذه المرة بحلم الـ""يوتوبيا""،","""جيم"" اقنع اتباعه هذه المره بحلم ال""يوتوبيا""،"
"""احنا هنعمل جَنّة موعودة،","""احنا هنعمل جَنّه موعوده،"
بس الجنّة دي مستحيل تبقى (أمريكا)،,بس الجنّه دي مستحيل تبقي امريكا ،
عارفين الجنة ممكن تبقى فين؟,عارفين الجنه ممكن تبقي فين؟
"ممكن تبقى في جمهورية (غيانا) في (أمريكا اللاتينية).""","ممكن تبقي في جمهوريه غيانا في امريكا اللاتينيه ."""
طبعًا، يا عزيزي، انت فهمت خلاص دلوقتي إن دي ما كانتش رؤيا،,طبعًا، يا عزيزي، انت فهمت خلاص دلوقتي ان دي ما كانتش رويا،
"غالبًا هو اختار المكان دا، عشان ما بيسلّموش مجرمين لـ""أمريكا"".","غالبًا هو اختار المكان دا، عشان ما بيسلّموش مجرمين ل""امريكا""."
"""جيم جونز""، يا عزيزي، بيهرب بأتباعه، وبيبدأ ما يُعرف بـJonestown.","""جيم جونز""، يا عزيزي، بيهرب باتباعه، وبيبدا ما يُعرف ب ."
"""جيم جونز"" وصف المدينة لأتباعه بإنها ""أرض الميعاد""،","""جيم جونز"" وصف المدينه لاتباعه بانها ""ارض الميعاد""،"
المكان اللي الأطفال فيه هيجروا بحرّية، ما فيش جريمة،,المكان اللي الاطفال فيه هيجروا بحرّيه، ما فيش جريمه،
كبار السن هيلاقوا رعاية كاملة،,كبار السن هيلاقوا رعايه كامله،
ما فيش تمييز أو عنصرية.,ما فيش تمييز او عنصريه.
الأتباع وصلوا والأمل سابقهم،,الاتباع وصلوا والامل سابقهم،
كل واحد بقى عنده خيالات,كل واحد بقي عنده خيالات
"عن المدينة المثالية اللي عمّنا ""جونز"" عمّال يخططلها،","عن المدينه المثاليه اللي عمّنا ""جونز"" عمّال يخططلها،"
إلا إنهم بيتفاجئوا بغابة منعزلة،,الا انهم بيتفاجيوا بغابه منعزله،
ما فيش طرُق لا بتودّي ليها، ولا بتخرّج منها،,ما فيش طرُق لا بتودّي ليها، ولا بتخرّج منها،
وسيلة الخروج الوحيدة مركب بياخد يوم كامل في النهر، عشان يوصل لأقرب مدينة.,وسيله الخروج الوحيده مركب بياخد يوم كامل في النهر، عشان يوصل لاقرب مدينه.
أول حاجة سمعوها هناك:,اول حاجه سمعوها هناك:
"""هاتوا يا جماعة (باسبوراتكم) وفلوسكم، عشان نشيلهالكم في الأمانات.""","""هاتوا يا جماعه باسبوراتكم وفلوسكم، عشان نشيلهالكم في الامانات."""
وهنا، ما بقاش فيه أي اتصال بالعالم الخارجي،,وهنا، ما بقاش فيه اي اتصال بالعالم الخارجي،
ما فيش لا جرايد ولا تليفونات،,ما فيش لا جرايد ولا تليفونات،
"ولو جالك جواب من أهلك في ""أمريكا""، كان بيتفتح ويتقري الأول قبل ما يجيلك،","ولو جالك جواب من اهلك في ""امريكا""، كان بيتفتح ويتقري الاول قبل ما يجيلك،"
"ولو مش على هوى عم ""جونز""، كان بيترمي في الزبالة، كأنه ما جاش!","ولو مش علي هوي عم ""جونز""، كان بيترمي في الزباله، كانه ما جاش!"
"المصدر الوحيد للمعلومات كان راديو مع ""جيم جونز""،","المصدر الوحيد للمعلومات كان راديو مع ""جيم جونز""،"
"وميكروفونات متوزعة في كل حتة في ""جونزتاون""،","وميكروفونات متوزعه في كل حته في ""جونزتاون""،"
"ومن خلالها، ""جيم جونز"" كان بيذيع fake news من تأليفه،","ومن خلالها، ""جيم جونز"" كان بيذيع من تاليفه،"
"قاعد بقى على الـ""مايك""، وهاتك يا هبد، ولا ""الدحّيح""!","قاعد بقي علي ال""مايك""، وهاتك يا هبد، ولا ""الدحّيح""!"
"شوية ويقولّهم: ""يا جماعة، خبر عاجل: (أمريكا) أصبحت جحيم!","شويه ويقولّهم: ""يا جماعه، خبر عاجل: امريكا اصبحت جحيم!"
إليكم أهم الأنباء، الحكومة الأمريكية تعمل على عمل معسكرات لحبس السود!,اليكم اهم الانباء، الحكومه الامريكيه تعمل علي عمل معسكرات لحبس السود!
حرائق في (أمريكا)!,حرايق في امريكا !
انهيار الدولار!,انهيار الدولار!
"سقوط تمساح الحرية!""","سقوط تمساح الحريه!"""
دا لأن التمثال اتسخط تمساح، فبعد كدا، اتكسر... كانت كارثة يعني، مشكلة!,دا لان التمثال اتسخط تمساح، فبعد كدا، اتكسر كانت كارثه يعني، مشكله!
الراجل فضل يرزع في أخبار fake،,الراجل فضل يرزع في اخبار ،
بس كانت أهم حاجة عايز يوصّلها للناس اللي معاه,بس كانت اهم حاجه عايز يوصّلها للناس اللي معاه
"إن ""الحكومة عندها خطة بذيئة،","ان ""الحكومه عندها خطه بذييه،"
أنا كشفتها، للأسف، فعشان كدا جيبتكم هنا،,انا كشفتها، للاسف، فعشان كدا جيبتكم هنا،
"إنها هتيجي تقتل أطفالنا في (جونزتاون)!""","انها هتيجي تقتل اطفالنا في جونزتاون !"""
لمّا، يا عزيزي، ما يبقاش قُدّامك غير مَصدَر واحد للمعلومة،,لمّا، يا عزيزي، ما يبقاش قُدّامك غير مَصدَر واحد للمعلومه،
"و""جورنال"" واحد اللي بينزلّك،","و""جورنال"" واحد اللي بينزلّك،"
فغصب عنك هتصدّقه، لأن ما فيش غيره،,فغصب عنك هتصدّقه، لان ما فيش غيره،
دي، يا عزيزي، هي الـI، الـinformation.,دي، يا عزيزي، هي ال ، ال .
نخُش على تاني حاجة يجب التحكم فيها، عشان يبقى عندك cult،,نخُش علي تاني حاجه يجب التحكم فيها، عشان يبقي عندك ،
"""أيوة، يا (أبو حميد)، يلّا، قول، قول، قول، أنا بفكر أعمل الطائفة العزيزية!""","""ايوه، يا ابو حميد ، يلّا، قول، قول، قول، انا بفكر اعمل الطايفه العزيزيه!"""
"أولًا، يا عزيزي، الطائفة العزيزية دي بيعملوا حواوشي في ""منيا القمح""،","اولًا، يا عزيزي، الطايفه العزيزيه دي بيعملوا حواوشي في ""منيا القمح""،"
فدي مبدئيًا copyrights،,فدي مبدييًا ،
محتاج تكلّمهم في الحقوق!,محتاج تكلّمهم في الحقوق!
"ثانيًا، أنا قُلتلك، الموضوع أصلًا بيبدأ بـ""كاريزما"" وذكاء.","ثانيًا، انا قُلتلك، الموضوع اصلًا بيبدا ب""كاريزما"" وذكاء."
"""طب خلاص، كمّل الحلقة بسرعة يا (أبو حميد)!""","""طب خلاص، كمّل الحلقه بسرعه يا ابو حميد !"""
نخُش على رقم 2، التحكم في السلوك، behavior control،,نخُش علي رقم 2، التحكم في السلوك، ،
هدف صاحب الـcult هنا في إنه ينهك ضحاياه جسديًا،,هدف صاحب ال هنا في انه ينهك ضحاياه جسديًا،
يتحكّم في طريقة حياتهم والبيئة المحيطة بيهم،,يتحكّم في طريقه حياتهم والبييه المحيطه بيهم،
لأن أنا وانت عارفين كويس إن الإنسان المنهك،,لان انا وانت عارفين كويس ان الانسان المنهك،
اللي بيجري على أكل عيشه، اللي شقيان،,اللي بيجري علي اكل عيشه، اللي شقيان،
مش هيلاقي وقت لا للمقاومة ولا للتفكير ولا للمراجعة،,مش هيلاقي وقت لا للمقاومه ولا للتفكير ولا للمراجعه،
"فبالتالي، الأتباع في ""جونزتاون"" كانوا أشبه بعُمّال سُخرة،","فبالتالي، الاتباع في ""جونزتاون"" كانوا اشبه بعُمّال سُخره،"
مشغّلهم من شروق الشمس لغروب الشمس،,مشغّلهم من شروق الشمس لغروب الشمس،
كله هيخش الغيط يزرع،,كله هيخش الغيط يزرع،
وسط حَر ورطوبة لا تُطاق وناموس وأمراض استوائية،,وسط حَر ورطوبه لا تُطاق وناموس وامراض استواييه،
ودا شعب أمريكاني أبيض، لمّا بيتعرّض لشمس، بيحمرّ،,ودا شعب امريكاني ابيض، لمّا بيتعرّض لشمس، بيحمرّ،
دا غير طبعًا الناموس والأمراض الاستوائية،,دا غير طبعًا الناموس والامراض الاستواييه،
ما احنا في غابة، مش الدنيا غابة، لأ، احنا في غابة فعلًا.,ما احنا في غابه، مش الدنيا غابه، لا، احنا في غابه فعلًا.
خلّيني أقولّك، اللي زاد وغطّى، إن التربة هناك كانت شديدة الحمضية،,خلّيني اقولّك، اللي زاد وغطّي، ان التربه هناك كانت شديده الحمضيه،
ما بتطلّعش المحاصيل الحلوة، اللي إخواتنا الأمريكان كانوا متعودين عليها،,ما بتطلّعش المحاصيل الحلوه، اللي اخواتنا الامريكان كانوا متعودين عليها،
فالأكل كان قليل،,فالاكل كان قليل،
"أتباع عم ""جونز"" نسيوا اللحمة والبيض، ونسيوا العلاقة مع البروتين!","اتباع عم ""جونز"" نسيوا اللحمه والبيض، ونسيوا العلاقه مع البروتين!"
أكلهم، يا عزيزي، كان رُز وصوص، ما فيش ذَفَر!,اكلهم، يا عزيزي، كان رُز وصوص، ما فيش ذَفَر!
"بس، يا عزيزي، لو دخلت أوضة عمك ""جيم جونز""،","بس، يا عزيزي، لو دخلت اوضه عمك ""جيم جونز""،"
هتجد إن هو الوحيد اللي كان بياكل لحمة وبيض،,هتجد ان هو الوحيد اللي كان بياكل لحمه وبيض،
وفي بعض الأقوال، عصير. ودي معلومة بجد.,وفي بعض الاقوال، عصير. ودي معلومه بجد.
"كمان، ""جونز"" أقنع أتباعه إن هُما يتبرعوله بكل مدخراتهم،","كمان، ""جونز"" اقنع اتباعه ان هُما يتبرعوله بكل مدخراتهم،"
"""بالصلاة على النبي كدا،","""بالصلاه علي النبي كدا،"
أي تابع منكم يروح يبيع البيت بتاعه، ويدّيني تمنه،,اي تابع منكم يروح يبيع البيت بتاعه، ويدّيني تمنه،
وبعد كدا، كل الشيكات والمرتّبات دي تتجمّع عندي في الكنيسة بتاعتي،,وبعد كدا، كل الشيكات والمرتّبات دي تتجمّع عندي في الكنيسه بتاعتي،
أنا آخدهم، أدّيكم منهم المصروف.,انا اخدهم، ادّيكم منهم المصروف.
"كل واحد أدّيله pocket money.""","كل واحد ادّيله ."""
"النتيجة هنا كانت إن كل عضو معتمد على ""جونز"" في الأكل والشرب،","النتيجه هنا كانت ان كل عضو معتمد علي ""جونز"" في الاكل والشرب،"
وفي كل أشكال المعيشة،,وفي كل اشكال المعيشه،
"يومه بالكامل بيتخطط من ""جونز""،","يومه بالكامل بيتخطط من ""جونز""،"
"علاقته بالعالم الخارجي وفكرته عنه ""جونز"" هو اللي بيقولهاله.","علاقته بالعالم الخارجي وفكرته عنه ""جونز"" هو اللي بيقولهاله."
فحتى لو فيه احتمال 1% إن انت مش مصدّق هذا الرجُل،,فحتي لو فيه احتمال 1 ان انت مش مصدّق هذا الرجُل،
"وإن، إن شاء الله، ""يوتوبيا"" جاية،","وان، ان شاء الله، ""يوتوبيا"" جايه،"
فانت، يا حبيبي، هتمشي تروح فين؟!,فانت، يا حبيبي، هتمشي تروح فين
"ما انت لا معاك لا ""باسبور"" ولا دولار!","ما انت لا معاك لا ""باسبور"" ولا دولار!"
ما فاضلش بس غير إنه يقضي على أي إحساس عند أتباعه بالخصوصية والكرامة،,ما فاضلش بس غير انه يقضي علي اي احساس عند اتباعه بالخصوصيه والكرامه،
"""أي حاجة تحسسك إن انت إنسان فريد، لوحدك كدا، فرد،","""اي حاجه تحسسك ان انت انسان فريد، لوحدك كدا، فرد،"
هنقضي عليها، هننساها،,هنقضي عليها، هننساها،
"انتم نمل!""","انتم نمل!"""
"""جونز""، يا عزيزي، عمل دا في إنه يتحكّم مين يعيش مع مين،","""جونز""، يا عزيزي، عمل دا في انه يتحكّم مين يعيش مع مين،"
وكمان، هيبلسوا إيه،,وكمان، هيبلسوا ايه،
لغى أي خصوصية بين الناس وبعضها،,لغي اي خصوصيه بين الناس وبعضها،
حتى الحمّام كان مشترك ومكشوف!,حتي الحمّام كان مشترك ومكشوف!
ولو مشاعرك بدأت تغلي وعواطفك ثارت وكدا،,ولو مشاعرك بدات تغلي وعواطفك ثارت وكدا،
ففيه عمليات وprocess كاملة للسيطرة عليها.,ففيه عمليات و كامله للسيطره عليها.
ودا ياخدنا للنقطة التالتة، اللي يجب على صاحب الـcult إنه يتحكّم فيها،,ودا ياخدنا للنقطه التالته، اللي يجب علي صاحب ال انه يتحكّم فيها،
الـE، الـemotional control.,ال ، ال .
كدا، أنا سلّمتك المعلومات،,كدا، انا سلّمتك المعلومات،
سلّمتك السلوكيات،,سلّمتك السلوكيات،
هدّيك دلوقتي العاطفي، فاضلّك في ذمتي الأفكار!,هدّيك دلوقتي العاطفي، فاضلّك في ذمتي الافكار!
نخُش بقى، يا عزيزي، على الـemotional control والتحكم العاطفي.,نخُش بقي، يا عزيزي، علي ال والتحكم العاطفي.
"""جيم جونز""، يا عزيزي، زي ما المصادر بتقول عنه،","""جيم جونز""، يا عزيزي، زي ما المصادر بتقول عنه،"
كان بارع في التلاعب بالمشاعر،,كان بارع في التلاعب بالمشاعر،
كان بيعمل لأتباعه ما يشبه لروليت المشاعر،,كان بيعمل لاتباعه ما يشبه لروليت المشاعر،
يحُط الكورة، يلفّ الصينية، وهما وحظهم،,يحُط الكوره، يلفّ الصينيه، وهما وحظهم،
"شوية، يقولّهم: ""يا جماعة، انتم شعب الله المختار، مبروك عليكم!","شويه، يقولّهم: ""يا جماعه، انتم شعب الله المختار، مبروك عليكم!"
"مبروك، انتم بتصنعوا التاريخ بوجودكم في هذه المدينة!""","مبروك، انتم بتصنعوا التاريخ بوجودكم في هذه المدينه!"""
فيقوم الـego يعلى عندهم،,فيقوم ال يعلي عندهم،
"""احنا المميزين، احنا المُختارين.""","""احنا المميزين، احنا المُختارين."""
وفجأة، يقوم قالب عليهم،,وفجاه، يقوم قالب عليهم،
